Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
3,11,21,1,14,25.19299999999998,20,119,90,114,95,92,28.852999999999977,9.332999999999993,0.305,3.3549999999999973,20,19,1,13,135,43,1,18,3,0.5,20,2.75,6,L,0.21372592592592593,0.21704651162790697,0.305,0.18638888888888888
3,11,22,1,8,32.39099999999998,17,144,98,108,66,76,32.939999999999976,2.744999999999998,8.051999999999994,0.6099999999999999,20,10,17,2,147,13,33,2,2,0,11,2.75,6,L,0.22408163265306122,0.21115384615384614,0.24399999999999997,0.305
3,12,23,1,3,43.00499999999997,16,194,71,113,94,87,50.56899999999996,3.3549999999999973,0.9149999999999996,3.659999999999997,20,7,3,11,223,9,4,15,5,0,12,3,6,L,0.22676681614349772,0.3727777777777777,0.22875,0.244
3,12,24,1,2,35.196999999999974,15,166,57,59,97,60,43.12699999999997,0.8539999999999996,2.3179999999999983,1.0369999999999995,20,5,6,5,188,5,7,5,4,0.5,26,3.5,6,L,0.22939893617021273,0.1708,0.33114285714285713,0.2074
3,13,25,1,8,32.939999999999976,16,153,98,88,39,19,33.183999999999976,3.3549999999999973,2.9889999999999977,24.09499999999998,17,12,12,16,154,18,15,96,2,0,16,4,6,L,0.21548051948051944,0.18638888888888888,0.19926666666666665,0.2509895833333333
3,13,26,1,13,25.61999999999998,17,109,115,109,84,62,28.852999999999977,0.244,2.0129999999999986,2.622999999999998,20,2,7,7,127,2,10,8,2,0,11,2.75,6,L,0.22718897637795274,0.122,0.2013,0.32787499999999997
3,14,27,1,13,19.763999999999985,20,82,15,96,95,54,58.01099999999995,0.061,0.061,0.305,20,1,1,2,256,1,1,2,2,0,16,4,6,L,0.22660546874999998,0.061,0.061,0.1525
3,14,28,1,8,45.078999999999965,20,201,102,99,98,79,45.444999999999965,0.7929999999999997,0.7929999999999997,1.0979999999999994,20,3,3,2,202,3,3,3,2,0.5,15,2.25,6,L,0.22497524752475245,0.2643333333333333,0.2643333333333333,0.366
3,15,29,1,3,30.133999999999975,20,139,27,33,83,20,31.902999999999974,0.6709999999999998,9.149999999999993,9.515999999999993,20,3,16,16,143,3,43,40,5,0,19,4.75,6,L,0.2230979020979021,0.22366666666666665,0.21279069767441858,0.23789999999999997
3,15,30,1,7,20.617999999999984,20,92,7,1,59,11,20.739999999999984,1.1589999999999994,6.587999999999995,3.537999999999997,20,7,16,12,93,9,33,20,6,0.5,40,5.5,6,L,0.22301075268817203,0.12877777777777777,0.19963636363636364,0.1769
