Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
14,2,3,0,7,25.68099999999998,17,122,20,19,17,24,26.83999999999998,5.855999999999995,0.305,6.160999999999995,20,12,2,16,128,20,2,31,6,1,72,6,6,L,0.20968749999999997,0.29279999999999995,0.1525,0.19874193548387095
14,2,4,0,1,36.41699999999997,19,147,113,64,3,114,46.298999999999964,18.299999999999986,6.526999999999995,1.9519999999999986,20,18,16,6,188,74,31,8,3,0,14,3.5,6,L,0.24627127659574466,0.24729729729729727,0.21054838709677418,0.244
14,3,5,0,3,19.397999999999985,16,93,28,32,27,15,20.617999999999984,0.9759999999999995,0.244,18.787999999999986,20,5,2,16,98,6,2,76,5,0.5,36,5.25,6,L,0.2103877551020408,0.16266666666666665,0.122,0.24721052631578944
14,3,6,0,6,6.160999999999995,15,29,3,5,7,101,9.698999999999993,1.9519999999999986,1.0979999999999994,5.306999999999996,20,7,7,13,39,7,7,25,6,0.5,38,5,6,L,0.24869230769230768,0.2788571428571428,0.15685714285714286,0.21227999999999997
14,4,7,0,7,12.19999999999999,20,51,110,19,21,13,19.336999999999986,3.2329999999999974,3.659999999999997,0.061,20,8,10,1,88,11,12,1,6,0.5,38,5,6,L,0.21973863636363636,0.2939090909090909,0.30499999999999994,0.061
14,4,8,0,9,14.212999999999989,19,74,72,63,64,70,14.456999999999988,5.062999999999996,1.7079999999999989,2.9279999999999977,20,16,8,10,75,31,9,12,4,1,48,4,6,L,0.19276,0.16332258064516128,0.18977777777777777,0.244
14,5,9,0,4,30.987999999999975,17,121,15,22,90,97,63.195999999999955,2.9279999999999977,0.061,1.585999999999999,20,12,1,8,239,13,1,9,2,0,17,4.25,6,L,0.26441841004184097,0.2252307692307692,0.061,0.17622222222222222
14,5,10,0,6,15.859999999999987,19,81,7,2,5,11,16.22599999999999,4.635999999999997,1.1589999999999994,1.9519999999999986,20,15,4,8,84,27,4,10,6,1,72,6,6,L,0.19316666666666665,0.1717037037037037,0.2897499999999999,0.19519999999999998
14,6,11,1,8,21.227999999999984,20,102,99,100,24,104,21.532999999999983,2.744999999999998,5.428999999999996,0.183,20,10,14,2,104,16,25,2,2,0.5,18,3,6,L,0.20704807692307692,0.1715625,0.21715999999999996,0.0915
14,6,12,1,7,8.051999999999994,14,49,7,2,64,11,8.112999999999994,6.038999999999995,0.122,0.488,15,17,1,4,50,33,1,4,6,0.5,40,5.5,6,L,0.16226,0.183,0.122,0.122
14,7,13,1,1,31.231999999999974,17,131,79,45,69,66,31.475999999999974,8.539999999999994,3.598999999999997,0.244,18,15,11,3,132,37,15,4,3,0,16,4,6,L,0.23845454545454542,0.23081081081081078,0.2399333333333333,0.061
14,7,14,1,2,22.813999999999982,19,106,51,58,60,103,22.874999999999982,1.8909999999999987,5.611999999999996,1.524999999999999,20,9,14,8,107,13,28,8,4,0.5,26,3.5,6,L,0.21378504672897194,0.14546153846153845,0.20042857142857143,0.190625
14,8,15,1,13,15.127999999999988,12,68,9,119,93,92,35.501999999999974,0.061,3.537999999999997,7.014999999999994,20,1,10,16,154,1,14,33,2,0,14,3.5,6,L,0.2305324675324675,0.061,0.2527142857142857,0.21257575757575756
14,8,16,1,15,13.724999999999989,18,76,24,20,106,21,14.273999999999988,6.526999999999995,3.2939999999999974,0.9759999999999995,20,17,9,3,81,30,10,4,6,0.5,38,5,6,L,0.1762222222222222,0.21756666666666666,0.32939999999999997,0.24399999999999997
14,9,17,1,15,15.676999999999987,20,69,19,13,22,24,17.811999999999987,1.2809999999999993,0.5489999999999999,2.0129999999999986,20,5,4,8,76,5,4,9,6,1,72,6,6,L,0.23436842105263156,0.2562,0.13724999999999998,0.22366666666666665
14,9,18,1,7,13.05399999999999,15,69,11,7,6,10,13.48099999999999,1.646999999999999,14.090999999999989,1.8909999999999987,17,6,18,10,71,8,61,12,6,1,72,6,6,L,0.1898732394366197,0.205875,0.23099999999999998,0.15758333333333333
14,10,19,1,2,28.730999999999977,17,120,51,54,58,43,29.035999999999976,3.598999999999997,1.3419999999999992,1.2199999999999993,20,9,7,7,123,14,8,8,4,0.5,29,4.25,6,L,0.23606504065040648,0.25707142857142856,0.16775,0.1525
14,10,20,1,15,23.97299999999998,18,109,16,18,81,102,24.09499999999998,0.427,12.44399999999999,1.0979999999999994,20,3,14,5,111,3,38,5,6,0,17,4.25,6,L,0.21707207207207205,0.14233333333333334,0.32747368421052625,0.21959999999999996
14,11,21,1,2,15.981999999999987,18,79,3,11,46,4,58.31599999999995,0.122,1.2199999999999993,1.2809999999999993,20,1,8,5,255,1,9,5,4,0.5,41,5.75,6,L,0.22869019607843133,0.122,0.13555555555555554,0.25619999999999993
14,11,22,1,15,59.16999999999995,17,251,19,17,13,105,59.23099999999995,5.7339999999999955,6.343999999999995,0.7319999999999998,18,13,17,4,252,25,30,4,6,0.5,38,5,6,L,0.23504365079365075,0.22935999999999998,0.21146666666666666,0.183
